"method","status","hit"
"Actualizar_Estado_Cambio","NOT_FOUND",""
"Actualizar_Trans_Ubic_HH_Det","NOT_FOUND",""
"Actualizar_Ubicaciones_Reservadas_By_IdStock","NOT_FOUND",""
"Actualizar_Ubicaciones_Reservadas_By_StockRes","NOT_FOUND",""
"Aplica_Cambio_Estado_Ubic_HH","NOT_FOUND",""
"Aplica_Cambio_Estado_Ubic_HH_ConValidacionRack","NOT_FOUND",""
"Aplica_Cambio_Estado_Ubic_HH_LicCompleta","NOT_FOUND",""
"Aplica_Cambio_Estado_Ubic_HH_LicCompleta_ConValidacionRack","NOT_FOUND",""
"Es_Pallet_No_Estandar","NOT_FOUND",""
"Es_Pallet_No_Estandar_JSON","NOT_FOUND",""
"Existe_Lp_By_Licencia_And_IdBodega_JSON","NOT_FOUND",""
"Get_All_By_IdTransUbicEnc_And_IdOperador","NOT_FOUND",""
"Get_All_Cambio_Ubic_By_IdBodega_And_IdOperador","NOT_FOUND",""
"Get_BeProducto_By_Codigo_For_HH","NOT_FOUND",""
"Get_BeProducto_By_Codigo_For_HH_JSON","NOT_FOUND",""
"Get_Estados_By_IdPropietario_JSON","NOT_FOUND",""
"Get_Motivos_Ubicacion_For_HH","NOT_FOUND",""
"Get_Productos_By_IdUbicacion_And_LicPlate_JSON","NOT_FOUND",""
"Get_Productos_By_IdUbicacion_Existencias_JSON","NOT_FOUND",""
"Get_Productos_By_IdUbicacion_JSON","NOT_FOUND",""
"Get_Productos_By_StockResCI","NOT_FOUND",""
"Get_Resoluciones_Lp_By_IdOperador_And_IdBodega","NOT_FOUND",""
"Get_Single_By_IdEstado","NOT_FOUND",""
"Get_Stock_By_Lic_Plate_And_Codigo","NOT_FOUND",""
"Get_Stock_By_Lic_Plate_JSON","NOT_FOUND",""
"Get_Ubicacion_By_Codigo_Barra_And_IdBodega","NOT_FOUND",""
"Get_Ubicacion_By_Codigo_Barra_And_IdBodega_JSON","NOT_FOUND",""
"Get_Ubicacion_Sugerida_JSON","NOT_FOUND",""
"ml_get_ubicacion_sugerida_JSON","NOT_FOUND",""
"Set_Nuevo_Pallet_Id","NOT_FOUND",""
"Tiene_Posiciones","NOT_FOUND",""
"Ubicacion_Es_Valida_JSON","NOT_FOUND",""
"Validar_Regla_Ubicacion_JSON","NOT_FOUND",""
