dia,dia_semana,filas_duplicadas,un_totales,productos_distintos
2025-11-29,Saturday,210,29331.0,50
2025-11-28,Friday,131,16808.0,45
2025-12-05,Friday,29,289.0,10
2026-03-04,Wednesday,28,503.0,3
2026-03-26,Thursday,27,794.0,6
2026-03-13,Friday,27,2985.0,8
2026-01-07,Wednesday,26,7287.0,8
2026-02-06,Friday,25,1434.0,5
2026-03-18,Wednesday,25,5479.0,8
2025-12-26,Friday,23,705.0,6
2026-04-23,Thursday,23,7064.0,8
2026-04-16,Thursday,23,2949.0,6
2025-12-18,Thursday,22,3129.0,8
2026-03-12,Thursday,22,1026.0,7
2026-04-21,Tuesday,22,1777.0,6
2026-03-03,Tuesday,21,1839.0,7
2026-04-14,Tuesday,21,4122.0,6
2026-03-25,Wednesday,21,3509.0,7
2026-04-09,Thursday,20,1362.0,5
2026-02-19,Thursday,20,1700.0,7
2026-02-12,Thursday,20,365.0,4
2026-01-27,Tuesday,20,219.0,5
2026-02-24,Tuesday,20,325.0,4
2026-02-05,Thursday,19,3814.0,5
2026-02-27,Friday,19,214.0,4
2026-04-15,Wednesday,18,8743.0,5
2026-04-10,Friday,17,789.0,5
2026-01-29,Thursday,17,159.0,5
2026-01-22,Thursday,17,1038.0,5
2026-01-13,Tuesday,15,1722.0,5
2026-02-10,Tuesday,15,738.0,3
2026-02-11,Wednesday,15,162.0,5
2026-03-19,Thursday,14,222.0,3
2026-02-26,Thursday,14,147.0,3
2026-04-20,Monday,14,9024.0,2
2026-03-11,Wednesday,14,3732.0,5
2026-03-27,Friday,13,2256.0,5
2026-03-20,Friday,13,2757.0,6
2026-01-06,Tuesday,13,1874.0,1
2026-02-04,Wednesday,13,3961.0,5
2026-01-09,Friday,12,290.0,3
2025-12-12,Friday,12,626.0,5
2025-12-04,Thursday,12,734.0,4
2025-12-09,Tuesday,12,2240.0,3
2026-03-24,Tuesday,12,3594.0,5
2025-12-16,Tuesday,11,393.0,4
2026-02-09,Monday,11,123.0,2
2025-12-23,Tuesday,11,790.0,3
2026-02-17,Tuesday,10,42.0,2
2026-02-18,Wednesday,10,67.0,4
2025-09-26,Friday,8,1788.0,2
2026-04-17,Friday,8,2004.0,4
2026-01-26,Monday,8,120.0,4
2025-05-28,Wednesday,8,1894.0,3
2026-02-28,Saturday,7,1128.0,1
2026-01-12,Monday,7,29.0,3
2026-03-30,Monday,7,304.0,4
2025-12-17,Wednesday,7,21.0,1
2026-02-20,Friday,6,67.0,2
2025-12-30,Tuesday,6,2026.0,3
