IdProductoBodega,IdUbicacion,Lote,filas_stock,un_actual,ingresos,egresos,neto_teorico,inflacion
391,1035,24220,13,74.0,16038.0,1850.0,14188.0,-14114.0
1481,676,698,17,1320.0,18356.0,3226.0,15130.0,-13810.0
391,1035,24220,3,504.0,16038.0,1850.0,14188.0,-13684.0
1350,1454,24247,4,1548.0,11254.0,0.0,11254.0,-9706.0
481,701,S78E2CBNN A1UEH,4,1018.0,10836.0,1777.0,9059.0,-8041.0
1485,1454,698,2,336.0,7572.0,0.0,7572.0,-7236.0
546,476,28022029,2,4194.0,11544.0,312.0,11232.0,-7038.0
71,370,8S2601,7,974.0,8888.0,1316.0,7572.0,-6598.0
401,345,N888,4,20.0,7112.0,1138.0,5974.0,-5954.0
561,180,S78E2FLV8 AMUFA,4,3680.0,13273.0,3926.0,9347.0,-5667.0
1511,1038,24201,3,441.0,9987.0,3928.0,6059.0,-5618.0
485,1305,S78E2CBNNA1VAP,8,4992.0,0.0,0.0,0.0,4992.0
296,484,25268AG,8,150.0,6663.0,1604.0,5059.0,-4909.0
1416,288,8S2601,3,35.0,6875.0,1948.0,4927.0,-4892.0
1485,1454,010,3,5184.0,300.0,0.0,300.0,4884.0
345,1454,188,6,1680.0,6507.0,0.0,6507.0,-4827.0
771,424,25260AG,8,64.0,6656.0,2045.0,4611.0,-4547.0
346,490,258X,8,1249.0,7355.0,1584.0,5771.0,-4522.0
1316,215,E2F8045,14,180.0,4968.0,380.0,4588.0,-4408.0
186,116,395431,11,65.0,5181.0,896.0,4285.0,-4220.0
726,720,24249,3,768.0,4814.0,0.0,4814.0,-4046.0
510,1281,S78E2COYNA1VAP,6,4032.0,0.0,0.0,0.0,4032.0
1511,1038,24214,12,1251.0,7684.0,2636.0,5048.0,-3797.0
506,636,S71E2COYNA3UAD,2,48.0,3536.0,48.0,3488.0,-3440.0
401,345,N739,6,28.0,3754.0,594.0,3160.0,-3132.0
1361,656,E5F7305,4,1368.0,4800.0,399.0,4401.0,-3033.0
316,217,25178AG,4,90.0,4515.0,1395.0,3120.0,-3030.0
771,423,25316AG,2,520.0,4816.0,1299.0,3517.0,-2997.0
1491,682,707,2,24.0,3072.0,161.0,2911.0,-2887.0
31,31,5122,3,2852.0,132.0,149.0,-17.0,2869.0
