IdTipoTarea,tipo_nombre,movs,internos,con_pres,avg_cant,primera,ultima
8,PIK,32048,0,25588,144.637200449326,2025-06-06 14:25:56.697000,2026-04-29 08:42:35.097000
11,VERI,32020,125,25404,31.436383510306058,2025-06-06 14:36:37.463000,2026-04-29 08:33:40
5,DESP,31418,31418,25030,144.85002228022154,2025-06-06 14:39:02.110000,2026-04-29 06:41:36.987000
2,UBIC,14316,1718,9130,428.9090088013414,2022-02-06 07:59:29,2026-04-29 08:04:32
1,RECE,4505,4505,3332,1020.3034406215316,2025-06-07 23:46:07.633000,2026-04-29 07:56:22.357000
25,REEMP_BE_PICK,3815,3793,3801,436.40157273918743,2025-06-09 13:07:00.027000,2026-04-29 08:16:57.073000
3,CEST,2969,974,1914,557.6001178848097,2022-02-22 06:15:27,2026-04-29 08:09:51
6,INVE,1644,1644,1285,843.9945255474453,2025-05-29 21:13:37.840000,2025-11-30 10:08:22.530000
12,PACK,1024,1022,993,1007.3759765625,2022-02-22 11:20:40,2026-04-28 11:40:58
20,EXPLOSION,243,56,0,21.307983539094646,2022-02-22 06:45:27,2026-04-29 06:53:24
17,AJCANTN,181,181,108,62.386740331491715,2025-12-03 12:33:54.570000,2026-04-28 09:07:13.920000
13,AJCANTP,98,98,72,71.34693877551021,2026-01-14 12:37:16.643000,2026-04-28 09:07:13.903000
26,REEMP_ME_PICK,24,24,20,20.041666666666668,2025-12-04 09:42:41.357000,2026-01-08 10:25:09.280000
7,AJUS,3,3,2,266.0,2026-01-30 08:02:36.940000,2026-01-30 08:02:36.973000
27,REEMP_NE_PICK,1,0,0,1.0,2025-12-04 07:08:26.617000,2025-12-04 07:08:26.617000
