yr,mo,n_pos,n_neg,um_pos,um_neg
2019,9,16,0,4075.0,0.0
2019,11,0,1,0.0,-5.0
2019,12,10,0,153330.0,0.0
2020,1,39,3,3826909.0,-1000085.0
2020,2,63,9,18430096.32,-24038.0
2020,3,50,3,947689.0,-88092.0
2020,4,14,0,40749.0,0.0
2020,5,11,1,17510.0,-636.0
2020,6,10,0,24190.0,0.0
2020,7,3,0,6500.0,0.0
2020,8,1,0,1500.0,0.0
2020,9,6,0,33302.0,0.0
2020,10,9,18,366302.0,-141008.0
2020,11,9,1,677985.0,-24.0
2020,12,5,0,34635.0,0.0
2021,1,10,0,76807.0,0.0
2021,2,10,22,752544.0,-1876614.0
2021,3,11,7,47880.0,-1800510.0
2021,4,11,188,130544.0,-498357.0
2021,5,7,63,15965.0,-4804443781668.0
2021,6,26,12,11838.0,-25241.0
2021,7,6,40,4896.0,-69984.0
2021,8,23,22,15453.0,-174758.0
2021,11,2,0,11.0,0.0
2021,12,51,120,3815.0,-38832.313333
2022,1,57,117,11700.0,-20610.0
2022,2,46,59,1171.0,-933.0
2022,3,11,5,446.0,-88.0
2022,5,7,11,60300.0,-1383.0
2022,6,36,173,131513.0,-1033448.0
2022,7,1,2,80.0,-24.0
2022,12,8,35,604.0,-22689.0
2023,1,1,20,696.0,-1406.0
2023,2,2,2,444.0,-1023.0
2023,3,22,1,3022518.0,-14.0
2023,4,2,0,156.0,0.0
2025,11,0,1,0.0,-24.0
2025,12,2,33,255.0,-3128.0
2026,1,3,26,60.0,-842.0
2026,2,0,18,0.0,-1054.0
2026,3,0,12,0.0,-168.0
2026,4,0,27,0.0,-530.0
