IdProductoBodega,codigo,nombre,n_pos,n_neg,um_pos,um_neg,neto
89,WMS108,MIEL LOS TILOS 24/730GR 25.8OZ,1,2,1200.0,-4804442748012.0,-4804442746812.0
2169,WMS75,PEPINILLOS MIGUELS ENTEROS 12/440GR 15.5OZ,2,1,17776000.0,-1000000.0,16776000.0
5505,,,7,0,3761928.0,0.0,3761928.0
3873,,,2,0,3000000.0,0.0,3000000.0
7738,,,1,1,1632.0,-1796016.0,-1794384.0
13540,,,20,1,25432.0,-998000.0,-972568.0
5284,,,0,2,0.0,-885388.0,-885388.0
6073,,,0,3,0.0,-692388.0,-692388.0
5509,,,7,0,619546.0,0.0,619546.0
19796,,,1,0,606648.0,0.0,606648.0
6897,,,17,0,326657.0,0.0,326657.0
6049,,,4,10,435612.0,-723636.0,-288024.0
18782,,,8,0,280836.0,0.0,280836.0
6233,,,0,4,0.0,-205200.0,-205200.0
1877,WMS96,MELOCOTON EN CUBOS LACIMA LATON 6/4250 GRS 150OZ,2,0,178296.0,0.0,178296.0
7778,,,10,2,159120.0,-648.0,158472.0
6257,,,1,2,137280.0,-266160.0,-128880.0
13684,,,4,12,283428.0,-178154.0,105274.0
12977,,,1,0,100000.0,0.0,100000.0
13704,,,1,1,804.0,-75972.0,-75168.0
6245,,,0,1,0.0,-69312.0,-69312.0
4525,,,6,1,72744.0,-3840.0,68904.0
19433,,,1,0,57408.0,0.0,57408.0
3412,,,1,0,56000.0,0.0,56000.0
6889,,,15,0,55578.0,0.0,55578.0
7786,,,4,0,49368.0,0.0,49368.0
20020,,,0,1,0.0,-43860.0,-43860.0
6885,,,11,2,40668.0,-792.0,39876.0
7685,,,5,0,39444.0,0.0,39444.0
1821,WMS43,FRUTA CRISTALIZADA FRUTALIA 12/200GR 7OZ,0,2,0.0,-35904.0,-35904.0
