unidad_medida,codigo_variante,idunidadmedida,cnt_uso
UN,Caja12,1,6839
UN,Caja24,1,3798
UN,,1,3557
UN,Caja6,1,3035
Caja12,Caja12,1,1005
Caja24,Caja24,1,826
UN,Caja8,1,605
UN,Caja20,1,516
Caja6,Caja6,1,512
Caja12,,1,459
UN,Caja15,1,409
UN,Caja5,1,362
UN,Caja4,1,283
Caja6,,1,271
UN,Caja32,1,264
Caja24,,1,257
UN,Caja16,1,244
UN,Caja10,1,135
Caja8,Caja8,1,108
Caja20,Caja20,1,108
Caja15,Caja15,1,106
UN,Caja18,1,82
Caja5,Caja5,1,70
Caja4,Caja4,1,57
Caja16,Caja16,1,55
Caja10,Caja10,1,44
UN,Caja30,1,44
Caja18,Caja18,1,24
,,1,22
Caja16,,1,21
Caja32,,1,20
Caja8,,1,14
Caja15,,1,14
Caja30,Caja30,1,8
Caja10,,1,8
Caja32,Caja32,1,4
UN,CajaMil,1,3
CajaMil,CajaMil,1,2
UN,0,1,2
