idtransaccion,fec_agr,fec_mod,no_pedido,codigo_producto,cantidad,IdTipoDocumento,idordencompra,idrecepcionenc
5068,2022-05-30T13:43:10.417Z,2022-05-30T13:43:10.320Z,PT-186500,00025002,84,8,602,476
5069,2022-05-30T13:43:23.630Z,2022-05-30T13:43:23.613Z,PT-186500,00025002,10,8,602,476
6453,2022-06-07T12:43:12.673Z,2022-06-07T12:43:12.640Z,PT-187175,00100101,50000,8,739,611
6494,2022-06-07T14:41:30.257Z,2022-06-07T14:41:30.227Z,PT-187175,00100101,9000,8,739,611
16827,2022-07-01T15:57:00.793Z,2022-07-01T15:57:00.793Z,PT-189028,00053205,72,8,1221,993
16828,2022-07-01T15:57:33.670Z,2022-07-01T15:57:33.670Z,PT-189028,00053205,72,8,1221,993
16832,2022-07-01T16:09:01.843Z,2022-07-01T16:09:01.843Z,PT-189028,00053205,20,8,1221,993
16833,2022-07-01T16:11:22.097Z,2022-07-01T16:11:22.083Z,PT-189028,00053205,37,8,1221,993
16834,2022-07-01T16:11:53.897Z,2022-07-01T16:11:53.897Z,PT-189028,00053205,11,8,1221,993
16966,2022-07-05T15:52:24.260Z,2022-07-05T15:52:24.247Z,PT-189028,00053205,10,8,1221,1009
18237,2022-07-12T16:16:55.967Z,2022-07-12T16:16:55.953Z,PT-189253,00172040,3,8,1295,1035
18238,2022-07-12T16:17:09.337Z,2022-07-12T16:17:09.337Z,PT-189253,00172040,1,8,1295,1035
18239,2022-07-12T16:17:27.167Z,2022-07-12T16:17:27.150Z,PT-189253,00172040,4,8,1295,1035
18240,2022-07-12T16:17:39.007Z,2022-07-12T16:17:39.007Z,PT-189253,00172040,17,8,1295,1035
18241,2022-07-12T16:19:03.650Z,2022-07-12T16:19:03.650Z,PT-189626,00025004,5,8,1400,1115
18242,2022-07-12T16:19:11.080Z,2022-07-12T16:19:11.063Z,PT-189626,00025004,39,8,1400,1115
20401,2022-07-22T17:46:58.947Z,2022-07-22T17:46:58.947Z,PT-190165,00191653,45,8,1663,1299
23338,2022-08-10T10:47:05.840Z,2022-08-10T10:47:05.823Z,PT-191690,00171041,4,8,2014,1586
23339,2022-08-10T10:47:21.727Z,2022-08-10T10:47:21.707Z,PT-191690,00171041,1,8,2014,1586
29859,2022-09-28T16:50:23.563Z,2022-09-28T16:50:23.547Z,PT-195234,00050608,17,8,2960,2182
30379,2022-09-30T11:52:10.953Z,2022-09-30T11:52:10.953Z,PT-195403,00474200,6,8,2982,2225
32061,2022-10-07T16:11:31.710Z,2022-10-07T16:11:31.710Z,PT-195786,00100801,62,8,3092,2320
32062,2022-10-07T16:11:40.190Z,2022-10-07T16:11:40.190Z,PT-195786,00100801,16,8,3092,2320
36962,2022-11-07T14:51:31.803Z,2022-11-07T14:51:31.790Z,PT-197812,00053209,2,8,3609,2757
36963,2022-11-07T14:51:43.987Z,2022-11-07T14:51:43.987Z,PT-197812,00053209,2,8,3609,2757
36964,2022-11-07T14:55:13.510Z,2022-11-07T14:55:13.493Z,PT-197909,00091035,40,8,3643,2777
81946,2022-11-23T10:53:38.050Z,2022-11-23T10:53:38.050Z,PT-199001,00020403,15,8,3977,3008
81947,2022-11-23T10:53:49.473Z,2022-11-23T10:53:49.473Z,PT-199001,00020403,34,8,3977,3008
81948,2022-11-23T10:54:21.120Z,2022-11-23T10:54:21.120Z,PT-199001,00020403,5,8,3977,3008
81949,2022-11-23T10:54:30.683Z,2022-11-23T10:54:30.683Z,PT-199001,00020403,11,8,3977,3008
82083,2022-11-23T17:39:25.180Z,2022-11-23T17:39:25.180Z,PT-199004,00091635,24,8,3978,3009
82084,2022-11-23T17:39:38.687Z,2022-11-23T17:39:38.687Z,PT-199004,00091635,2,8,3978,3009
85081,2022-12-02T11:32:14.640Z,2022-12-02T11:32:14.640Z,PT-199001,00020404,6,8,3977,3230
85082,2022-12-02T11:32:29.787Z,2022-12-02T11:32:29.787Z,PT-199001,00020502,18,8,3977,3230
85083,2022-12-02T11:32:57.693Z,2022-12-02T11:32:57.693Z,PT-199001,00020404,6,8,3977,3230
85084,2022-12-02T11:33:07.300Z,2022-12-02T11:33:07.300Z,PT-199001,00020404,47,8,3977,3230
85085,2022-12-02T11:33:21.517Z,2022-12-02T11:33:21.500Z,PT-199001,00020502,32,8,3977,3230
85086,2022-12-02T11:33:30.677Z,2022-12-02T11:33:30.660Z,PT-199001,00020404,12,8,3977,3230
85087,2022-12-02T11:33:58.967Z,2022-12-02T11:33:58.953Z,PT-199001,00020404,5,8,3977,3230
85088,2022-12-02T11:35:34.277Z,2022-12-02T11:35:34.260Z,PT-199200,00084425,16,8,4104,3231
107143,2022-12-21T11:26:33.580Z,2022-12-21T11:26:33.563Z,PT-201256,00020403,5,8,4667,3527
114785,2023-01-04T11:47:59.573Z,2023-01-04T11:47:59.573Z,PT-201717,00190454,35,8,4803,3635
114786,2023-01-04T11:48:13.720Z,2023-01-04T11:48:13.707Z,PT-201717,00190454,27,8,4803,3635
114787,2023-01-04T11:48:59.353Z,2023-01-04T11:48:59.353Z,PT-201717,00531005,26,8,4803,3635
114788,2023-01-04T11:49:14.023Z,2023-01-04T11:49:14.003Z,PT-201717,00531005,485,8,4803,3635
114839,2023-01-04T15:13:00.037Z,2023-01-04T15:13:00.007Z,PT-201717,00190150,441,8,4803,3635
114840,2023-01-04T15:13:08.570Z,2023-01-04T15:13:08.570Z,PT-201717,00190150,42,8,4803,3635
114841,2023-01-04T15:13:26.163Z,2023-01-04T15:13:26.147Z,PT-201756,00511001,2,8,4806,3638
139703,2023-01-31T16:11:32.227Z,2023-01-31T16:11:32.197Z,PT-203558,00511001,29,8,5513,4317
139704,2023-01-31T16:12:21.297Z,2023-01-31T16:12:21.280Z,PT-203558,00511001,5,8,5513,4317
139705,2023-01-31T16:12:54.487Z,2023-01-31T16:12:54.470Z,PT-203558,00091035,5,8,5513,4317
139706,2023-01-31T16:13:19.310Z,2023-01-31T16:13:19.277Z,PT-203558,00091035,10,8,5513,4317
139707,2023-01-31T16:13:56.983Z,2023-01-31T16:13:56.967Z,PT-203558,00511001,103,8,5513,4317
212076,2023-04-11T14:05:15.397Z,2023-04-11T14:05:15.363Z,PT-208477,00511001,174,8,7676,6420
212489,2023-04-11T15:52:57.057Z,2023-04-11T15:52:57.043Z,PT-208477,00511001,5,8,7676,6420
212490,2023-04-11T16:06:29.230Z,2023-04-11T16:06:29.197Z,PT-207503,00053209,3,8,7677,6419
212491,2023-04-11T16:06:55.253Z,2023-04-11T16:06:55.240Z,PT-207503,00053209,7,8,7677,6419
212492,2023-04-11T16:11:25.810Z,2023-04-11T16:11:25.747Z,PT-207503,00053223,11,8,7677,6419
212493,2023-04-11T16:12:22.297Z,2023-04-11T16:12:22.263Z,PT-207503,00053223,11,8,7677,6419
212495,2023-04-11T16:12:46.167Z,2023-04-11T16:12:46.153Z,PT-207503,00053223,11,8,7677,6419
212496,2023-04-11T16:12:56.990Z,2023-04-11T16:12:56.960Z,PT-207503,00053223,1,8,7677,6419
227181,2023-04-21T16:35:04.323Z,2023-04-21T16:35:04.307Z,PT-209782,00103201,25,8,8058,6806
227182,2023-04-21T16:36:00.003Z,2023-04-21T16:35:59.987Z,PT-209782,00103201,4,8,8058,6806
235688,2023-04-27T13:58:51.247Z,2023-04-27T13:58:51.230Z,PT-210149,00104200,24,8,8257,7021
235689,2023-04-27T14:00:12.997Z,2023-04-27T14:00:12.980Z,PT-210149,00104200,24,8,8257,7021
235690,2023-04-27T14:00:33.477Z,2023-04-27T14:00:33.460Z,PT-210149,00104200,25,8,8257,7021
235691,2023-04-27T14:01:05.563Z,2023-04-27T14:01:05.530Z,PT-210149,00104200,60,8,8257,7021
235692,2023-04-27T14:01:24.100Z,2023-04-27T14:01:24.083Z,PT-210149,00104200,37,8,8257,7021
235693,2023-04-27T14:01:39.257Z,2023-04-27T14:01:39.227Z,PT-210149,00104200,60,8,8257,7021
235694,2023-04-27T14:02:42.790Z,2023-04-27T14:02:42.773Z,PT-210149,00104200,36,8,8257,7021
235695,2023-04-27T14:03:15.743Z,2023-04-27T14:03:15.727Z,PT-210149,00104200,3,8,8257,7021
251406,2023-05-10T16:01:03.810Z,2023-05-10T16:01:03.777Z,PT-210776,00053215,19,8,8659,7462
294943,2023-06-12T16:41:52.957Z,2023-06-12T16:41:52.940Z,PT-213123,00020500,6,8,9862,8927
294944,2023-06-12T16:42:37.293Z,2023-06-12T16:42:37.293Z,PT-213123,00020500,91,8,9862,8927
331924,2023-07-07T08:41:43.787Z,2023-07-07T08:41:43.787Z,PT-215721,00710000,23,8,10811,10028
331925,2023-07-07T08:41:59.217Z,2023-07-07T08:41:59.217Z,PT-215721,00710000,25,8,10811,10028
331926,2023-07-07T08:42:33.523Z,2023-07-07T08:42:33.507Z,PT-215721,00710000,19,8,10811,10028
331927,2023-07-07T08:51:05.737Z,2023-07-07T08:51:05.720Z,PT-215721,00104200,38,8,10811,10028
331928,2023-07-07T08:52:15.037Z,2023-07-07T08:52:14.990Z,PT-215721,00104200,30,8,10811,10028
341013,2023-07-14T08:01:19.837Z,2023-07-14T08:01:19.820Z,PT-217009,00103201,92,8,11104,10373
341014,2023-07-14T08:13:11.077Z,2023-07-14T08:13:11.077Z,PT-216944,00100401,10,8,11105,10374
341015,2023-07-14T08:13:55.037Z,2023-07-14T08:13:55.037Z,PT-216944,00100801,25,8,11105,10374
341016,2023-07-14T08:14:34.640Z,2023-07-14T08:14:34.623Z,PT-216944,00100801,25,8,11105,10374
341017,2023-07-14T08:14:55.823Z,2023-07-14T08:14:55.810Z,PT-216944,00100801,38,8,11105,10374
341018,2023-07-14T08:19:01.830Z,2023-07-14T08:19:01.830Z,PT-216944,00100801,7,8,11105,10374
341164,2023-07-14T14:12:19.417Z,2023-07-14T14:12:19.417Z,PT-217141,00103201,60,8,11158,10459
341165,2023-07-14T14:12:57.420Z,2023-07-14T14:12:57.403Z,PT-217141,00103201,32,8,11158,10459
354231,2023-07-24T08:13:00.133Z,2023-07-24T08:13:00.120Z,RE-TOM-034,00193250,60,6,11462,10807
354237,2023-07-24T08:14:35.130Z,2023-07-24T08:14:35.113Z,RE-TOM-034,00193250,60,6,11462,10807
354250,2023-07-24T08:17:23.927Z,2023-07-24T08:17:23.927Z,RE-TOM-034,00193250,60,6,11462,10807
357078,2023-07-25T10:45:57.830Z,2023-07-25T10:45:57.423Z,PT-217147,00053230,23,8,11159,10833
357079,2023-07-25T10:46:10.053Z,2023-07-25T10:46:10.053Z,PT-217147,00053230,11,8,11159,10833
361177,2023-07-27T08:48:11.470Z,2023-07-27T08:48:11.457Z,PT-218282,00100401,5,8,11624,10938
362719,2023-07-28T08:10:51.973Z,2023-07-28T08:10:51.957Z,RE-TOM-021,00191650,60,6,11652,11032
367813,2023-08-01T07:51:25.513Z,2023-08-01T07:51:25.513Z,RE-VIN-001,00230438,40,6,11702,11129
374686,2023-08-07T10:32:38.627Z,2023-08-07T10:32:38.397Z,RE-PIC-217,00521009,60,6,11969,11424
374689,2023-08-07T11:21:33.657Z,2023-08-07T11:21:33.420Z,RE-PIC-217,00521009,60,6,11969,11424
374719,2023-08-07T11:51:17.893Z,2023-08-07T11:51:17.877Z,RE-PIC-217,00521009,60,6,11969,11424
374721,2023-08-07T11:53:22.927Z,2023-08-07T11:53:22.913Z,RE-PIC-217,00521009,60,6,11969,11424
374726,2023-08-07T12:01:12.463Z,2023-08-07T12:01:12.463Z,RE-PIC-217,00521009,60,6,11969,11424
374729,2023-08-07T12:16:40.233Z,2023-08-07T12:16:40.027Z,RE-PIC-217,00521009,60,6,11969,11424
374733,2023-08-07T12:28:46.950Z,2023-08-07T12:28:46.877Z,RE-PIC-217,00521009,60,6,11969,11424
374736,2023-08-07T12:32:46.573Z,2023-08-07T12:32:46.327Z,RE-PIC-217,00521009,60,6,11969,11424
374751,2023-08-07T12:49:38.260Z,2023-08-07T12:49:37.807Z,RE-PIC-217,00521009,60,6,11969,11424
374768,2023-08-07T13:56:42.760Z,2023-08-07T13:56:42.427Z,RE-PIC-217,00521009,60,6,11969,11424
374783,2023-08-07T14:32:22.373Z,2023-08-07T14:32:22.367Z,RE-PIC-217,00521009,14,6,11969,11424
428475,2023-09-18T11:45:19.983Z,2023-09-18T11:45:19.967Z,PT-221796,00053309,10,8,13449,13203
